content_id,planned_date,locale,channel,content_type,slug,title,primary_topic,canonical_url,cta,status,blocked_by,source_path
september-heat-uv,2026-09-07,uz,site,article,september-heat-uv,Sentabr issig‘i va UV: tashqariga chiqish vaqtini qanday tanlash,September heat and UV,https://nimbo.uz/guides/september-heat-uv/,Nimbo’da shaharingiz prognozini oching,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
september-heat-uv,2026-09-07,ru,site,article,september-heat-uv,Сентябрьская жара и UV: как выбрать время для выхода,September heat and UV,https://nimbo.uz/ru/guides/september-heat-uv/,Откройте прогноз своего города в Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
september-heat-uv,2026-09-07,en,site,article,september-heat-uv,September heat and UV: choosing a time to go outside,September heat and UV,https://nimbo.uz/en/guides/september-heat-uv/,Open your city forecast in Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
autumn-swings-aqi,2026-09-21,uz,site,article,autumn-swings-aqi,Kuzgi o‘zgarishlar va AQI: kunni kontekst bilan rejalashtiring,Autumn temperature swings and AQI,https://nimbo.uz/guides/autumn-swings-aqi/,Nimbo’da kecha va bugunni solishtiring,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
autumn-swings-aqi,2026-09-21,ru,site,article,autumn-swings-aqi,Осенние перепады и AQI: планируйте день с контекстом,Autumn temperature swings and AQI,https://nimbo.uz/ru/guides/autumn-swings-aqi/,Сравните вчера и сегодня в Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
autumn-swings-aqi,2026-09-21,en,site,article,autumn-swings-aqi,Autumn swings and AQI: plan the day with context,Autumn temperature swings and AQI,https://nimbo.uz/en/guides/autumn-swings-aqi/,Compare yesterday and today in Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
october-rain-windows,2026-10-05,uz,site,article,october-rain-windows,Oktabr yomg‘iri: tashqariga chiqish vaqtini qanday solishtirish,October rain planning,https://nimbo.uz/guides/october-rain-windows/,Nimbo’da keyingi soatlarni solishtiring,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
october-rain-windows,2026-10-05,ru,site,article,october-rain-windows,Октябрьский дождь: как сравнить время для выхода,October rain planning,https://nimbo.uz/ru/guides/october-rain-windows/,Сравните следующие часы в Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
october-rain-windows,2026-10-05,en,site,article,october-rain-windows,October rain: how to compare times to go outside,October rain planning,https://nimbo.uz/en/guides/october-rain-windows/,Compare the hours ahead in Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
october-wind-gusts,2026-10-19,uz,site,article,october-wind-gusts,"Oktabr shamoli: tezlik, kuchayish va his qilinadigan harorat",October wind and apparent temperature,https://nimbo.uz/guides/october-wind-gusts/,Nimbo’da shamolli soatlarni solishtiring,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
october-wind-gusts,2026-10-19,ru,site,article,october-wind-gusts,"Октябрьский ветер: скорость, порывы и ощущаемая температура",October wind and apparent temperature,https://nimbo.uz/ru/guides/october-wind-gusts/,Сравните ветреные часы в Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
october-wind-gusts,2026-10-19,en,site,article,october-wind-gusts,"October wind: speed, gusts, and apparent temperature",October wind and apparent temperature,https://nimbo.uz/en/guides/october-wind-gusts/,Compare the windier hours in Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
november-cold-mornings,2026-11-02,uz,site,article,november-cold-mornings,Noyabr tonglari: sovuqroq vaqtni kontekst bilan rejalashtiring,November cold mornings,https://nimbo.uz/guides/november-cold-mornings/,Nimbo’da tonggi soatlarni solishtiring,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
november-cold-mornings,2026-11-02,ru,site,article,november-cold-mornings,Ноябрьские утра: планируйте холодное время с контекстом,November cold mornings,https://nimbo.uz/ru/guides/november-cold-mornings/,Сравните утренние часы в Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
november-cold-mornings,2026-11-02,en,site,article,november-cold-mornings,November mornings: plan colder hours with context,November cold mornings,https://nimbo.uz/en/guides/november-cold-mornings/,Compare the morning hours in Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
november-ten-day-planning,2026-11-16,uz,site,article,november-ten-day-planning,Noyabrni 10 kun oldindan rejalashtirish: to‘g‘ri ufqni tanlang,November 10-day planning,https://nimbo.uz/guides/november-ten-day-planning/,Nimbo’da avval kunlarni keyin yaqin soatlarni solishtiring,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
november-ten-day-planning,2026-11-16,ru,site,article,november-ten-day-planning,Планирование ноября на 10 дней: выбирайте правильный горизонт,November 10-day planning,https://nimbo.uz/ru/guides/november-ten-day-planning/,Сначала сравните дни затем ближайшие часы в Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
november-ten-day-planning,2026-11-16,en,site,article,november-ten-day-planning,Planning November across 10 days: choose the right horizon,November 10-day planning,https://nimbo.uz/en/guides/november-ten-day-planning/,Compare days then nearby hours in Nimbo,draft-blocked,open_meteo_promotion_clearance|ios_crash_gate|release_artifact_source_sync|android_physical_smoke|ios_physical_smoke|store_policy_console_clearance|domain_activation,growth/content/articles.json
