contact_id,outlet_or_community,draft_path,language,public_contact_channel,hook_source_url,status,follow_up_count,last_contacted
UZ-01,Spot.uz,drafts/UZ-01-spot-ru.md,ru,"Official contact form; info@spot.uz; Telegram @SpotuzFeedbackBot",https://www.spot.uz/ru/2026/08/12/ecology-environment/,draft_only_not_sent,1,
UZ-02,ICTNEWS,drafts/UZ-02-ictnews-ru.md,ru,info@ictnews.uz,https://ictnews.uz/24/04/2026/huawei-digital-week/,draft_only_not_sent,1,
UZ-03,Gazeta.uz,drafts/UZ-03-gazeta-ru.md,ru,Telegram @GazetauzFeedbackBot,https://sp.gazeta.uz/page67180789.html,draft_only_not_sent,1,
UZ-04,Kun.uz,drafts/UZ-04-kun-uz.md,uz,"Official contact form; Telegram @kunuzmurojaat",https://kun.uz/news/2026/07/10/hafta-oxirida-yuqori-harorat-saqlanib-qoladi,draft_only_not_sent,1,
UZ-05,Daryo.uz,drafts/UZ-05-daryo-uz.md,uz,"Official contact form; info@simple.uz",https://daryo.uz/2026/08/12/ozbekistonda-13-avgust-kuni-harorat-yana-kotarilishi-mumkin,draft_only_not_sent,1,
UZ-06,Kursiv Uzbekistan,drafts/UZ-06-kursiv-ru.md,ru,post@kursiv.media,https://uz.kursiv.media/2026-08-07/pochti-50-gradusov-iyul-2026-goda-stal-odnim-iz-samyh-zharkih-v-istorii-uzbekistana/,draft_only_not_sent,1,
UZ-07,Podrobno.uz,drafts/UZ-07-podrobno-ru.md,ru,info@podrobno.uz,https://podrobno.uz/cat/obchestvo/tashkenttsev-predupredili-o-vozmozhnykh-pylnykh-buryakh-i-vremennom-ukhudshenii-kachestva-vozdukha/,draft_only_not_sent,1,
UZ-08,UzDaily,drafts/UZ-08-uzdaily-ru.md,ru,info@uzdaily.com,https://www.uzdaily.uz/ru/v-uzbekistane-ukhudshilos-kachestvo-vozdukha-iz-za-shtilia-temperaturnoi-inversii-i-tumana/,draft_only_not_sent,1,
UZ-09,Repost.uz,drafts/UZ-09-repost-ru.md,ru,Telegram @repostredactor,https://repost.uz/vozduh-v-tash-2707,draft_only_not_sent,1,
UZ-10,Afisha.uz,drafts/UZ-10-afisha-ru.md,ru,"Telegram @AfishauzFeedbackBot; info@afisha.uz",https://www.afisha.uz/ru/sport/2026/08/11/running-in-tashkent,draft_only_not_sent,1,
UZ-11,IT Park Uzbekistan,drafts/UZ-11-it-park-uz.md,uz,info@it-park.uz,https://www.it-park.uz/en/itpark/news/it-park-uzbekistan-and-aws-to-integrate-aws-academy-programs-at-10-universities,draft_only_not_sent,1,
UZ-12,GDG Tashkent,drafts/UZ-12-gdg-tashkent-uz.md,uz,Official chapter Contact Us form,https://gdg.community.dev/events/details/google-gdg-tashkent-presents-ship-fast-without-breaking-too-many-things-a-practical-approach-to-software-and-startups-in-the-age-of-claude-code/,draft_only_not_sent,1,
UZ-13,Athletics Federation of Uzbekistan / Yangi Nafas,drafts/UZ-13-yangi-nafas-uz.md,uz,FLAU@exat.uz,https://uzathletics.uz/news/news_post/press-reliz-zabegov-yangi-nafas,draft_only_not_sent,1,
UZ-14,Samarkand Marathon Series / ACDF,drafts/UZ-14-samarkand-marathon-ru.md,ru,info@acdf.uz,https://acdf.uz/news/samarkand-marathon-international-race-series,draft_only_not_sent,1,
UZ-15,Zamin International Public Foundation,drafts/UZ-15-zamin-uz.md,uz,info@zaminfoundation.uz,https://zaminfoundation.ngo/events-info/9535eaa4-8536-42f1-a09b-62ee442dfc55?from=events,draft_only_not_sent,1,
